x y
911.30 27.70
832.44 153.49
96.49 787.08
212.23 166.19
889.36 974.46
281.88 237.42
374.35 449.88
747.76 170.40
676.61 69.78
854.33 916.73
607.56 495.22
774.42 36.62
615.89 425.26
66.82 426.48
445.21 266.10
816.26 365.33
894.90 976.82
629.82 457.66
861.51 926.08
610.93 798.77
296.19 455.32
477.65 167.85
921.94 69.45
92.31 917.91
452.67 169.29
455.92 606.94
260.47 276.68
830.41 310.80
408.42 592.55
897.01 783.93
929.71 981.88
976.42 598.99
218.92 632.06
915.57 144.87
534.82 820.72
944.79 156.50
184.91 911.44
36.46 341.30
235.97 389.59
340.02 178.56
560.43 245.66
659.27 297.21
785.84 402.56
939.95 418.35
864.24 790.23
259.12 752.23
222.55 19.38
342.30 903.02
157.56 172.80
830.47 149.99
371.21 446.43
306.21 577.55
341.35 445.06
401.41 405.51
974.96 199.12
234.47 558.07
692.23 673.71
848.17 442.23
888.43 592.34
130.73 582.83
159.76 671.88
147.80 793.44
122.30 74.93
9.91 833.69
621.39 446.96
834.92 278.90
44.99 924.87
889.27 683.89
995.69 55.12
242.63 547.55
685.54 167.27
320.67 483.90
509.06 850.05
867.24 702.13
453.46 14.59
508.48 311.47
350.27 178.06
204.00 891.41
861.50 329.22
771.62 12.23
854.10 344.68
420.96 123.27
547.12 768.46
504.76 620.53
842.51 845.39
382.89 534.68
799.72 417.25
336.45 748.08
204.74 940.31
136.21 164.42
207.90 404.64
137.85 258.74
206.74 477.83
361.65 810.60
297.80 803.27
149.19 944.49
478.19 821.17
678.66 18.95
333.35 965.31
63.81 422.52
